City,Station,Date,PM2.5,PM10,SO2,CO,OZONE,NO2,NH3
Talcher,"Talcher Coalfields,Talcher - OSPCB",20-11-2023 12:00:00,128,116,25,28,12,61,6
Tensa,"Barsua Iron Ore Mines, Tensa - OSPCB",20-11-2023 12:00:00,39,78,14,22,6,51,6
Puducherry,"Jawahar Nagar, Puducherry - PPCC",20-11-2023 12:00:00,23,32,5,19,18,14,2
Amritsar,"Golden Temple, Amritsar - PPCB",20-11-2023 12:00:00,261,151,12,19,54,39,2
Bathinda,"Hardev Nagar, Bathinda - PPCB",20-11-2023 12:00:00,278,190,18,26,,31,
Jalandhar,"Civil Line, Jalandhar - PPCB",20-11-2023 12:00:00,226,144,20,55,24,41,10
Khanna,"Kalal Majra, Khanna - PPCB",20-11-2023 12:00:00,154,155,21,48,13,36,16
Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",20-11-2023 12:00:00,215,153,14,93,10,38,10
Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",20-11-2023 12:00:00,190,127,16,35,40,39,5
Patiala,"Model Town, Patiala - PPCB",20-11-2023 12:00:00,187,143,16,36,35,44,7
Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements",20-11-2023 12:00:00,157,236,4,61,,,
Ajmer,"Civil Lines, Ajmer - RSPCB",20-11-2023 12:00:00,151,133,15,31,21,39,18
Alwar,"Moti Doongri, Alwar - RSPCB",20-11-2023 12:00:00,114,102,30,69,16,59,9
Banswara,"Rati Talai, Banswara - RSPCB",20-11-2023 12:00:00,NA,NA,NA,56,97,NA,
Baran,"Bamboliya, Baran - RSPCB",20-11-2023 12:00:00,241,151,13,40,48,32,8
Barmer,"Railway Colony, Barmer - RSPCB",20-11-2023 12:00:00,NA,133,7,27,178,22,8
Bharatpur,"Krishna Nagar, Bharatpur - RSPCB",20-11-2023 12:00:00,224,178,7,107,22,117,30
Bhilwara,"Pratap Nagar, Bhilwara - RSPCB",20-11-2023 12:00:00,268,145,8,49,52,42,8
Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",20-11-2023 12:00:00,299,283,21,41,19,19,11
Bikaner,"MM Ground, Bikaner - RSPCB",20-11-2023 12:00:00,336,306,8,85,41,41,8
Bundi,"New Colony, Bundi - RSPCB",20-11-2023 12:00:00,257,199,8,39,87,30,6
Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB",20-11-2023 12:00:00,244,195,18,90,30,64,7
Churu,"Subash Chowk, Churu - RSPCB",20-11-2023 12:00:00,270,171,16,59,54,45,10
Dausa,"Khatikan Mohalla, Dausa - RSPCB",20-11-2023 12:00:00,NA,NA,NA,80,91,NA,NA
Dholpur,"Raja Ganj, Dholpur - RSPCB",20-11-2023 12:00:00,NA,NA,NA,56,167,NA,NA
Dungarpur,"Bhoiwada, Dungarpur - RSPCB",20-11-2023 12:00:00,312,140,5,41,27,25,10
Hanumangarh,"Housing Board, Hanumangarh - RSPCB",20-11-2023 12:00:00,394,389,12,83,13,22,13
Jaipur,"Adarsh Nagar, Jaipur - RSPCB",20-11-2023 12:00:00,227,124,16,47,95,64,10
Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB",20-11-2023 12:00:00,192,180,4,87,75,42,8
Jaipur,"Police Commissionerate, Jaipur - RSPCB",20-11-2023 12:00:00,NA,NA,NA,54,88,NA,NA
Jaipur,"RIICO Sitapura, Jaipur - RSPCB",20-11-2023 12:00:00,206,142,10,45,80,59,15
Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",20-11-2023 12:00:00,168,141,14,47,165,22,3
Jaipur,"Shastri Nagar, Jaipur - RSPCB",20-11-2023 12:00:00,257,167,16,43,146,50,14
Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB",20-11-2023 12:00:00,210,184,8,40,105,25,5
Jalore,"Mudtra Sili, Jalore - RSPCB",20-11-2023 12:00:00,235,207,9,56,81,65,10
Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB",20-11-2023 12:00:00,262,162,7,45,66,35,7
Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB",20-11-2023 12:00:00,204,149,6,71,151,76,3
Jodhpur,"Collectorate, Jodhpur - RSPCB",20-11-2023 12:00:00,240,181,18,70,75,NA,
Jodhpur,"Digari Kalan, Jodhpur - RSPCB",20-11-2023 12:00:00,192,196,8,39,59,48,5
Jodhpur,"Jhalamand, Jodhpur - RSPCB",20-11-2023 12:00:00,168,161,10,36,67,41,10
Jodhpur,"Mandor, Jodhpur - RSPCB",20-11-2023 12:00:00,164,143,11,31,94,22,8
Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB",20-11-2023 12:00:00,NA,NA,NA,59,62,NA,NA
Karauli,"Satyawati Vihar, Karauli - RSPCB",20-11-2023 12:00:00,88,87,NA,54,20,43,7
Kota,"Dhanmandi, Kota - RSPCB",20-11-2023 12:00:00,320,185,12,54,15,70,4
Kota,"Nayapura, Kota - RSPCB",20-11-2023 12:00:00,303,163,15,60,37,73,12
Kota,"Shrinath Puram, Kota - RSPCB",20-11-2023 12:00:00,357,214,18,49,57,109,8
Nagaur,"Karni Colony, Nagaur - RSPCB",20-11-2023 12:00:00,213,179,7,51,63,31,13
Pali,"Indira Colony Vistar, Pali - RSPCB",20-11-2023 12:00:00,239,122,9,28,38,24,6
Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB",20-11-2023 12:00:00,252,134,7,31,90,33,3
Rajsamand,"Dhoinda, Rajsamand - RSPCB",20-11-2023 12:00:00,265,148,6,56,47,33,4
Sawai Madhopur,"Sahu Nagar, Sawai Madhopur - RSPCB",20-11-2023 12:00:00,166,170,11,43,44,14,5
Sikar,"Radhakishan Pura, Sikar - RSPCB",20-11-2023 12:00:00,220,238,6,53,161,44,13
Sirohi,"Vedhaynath Colony, Sirohi - RSPCB",20-11-2023 12:00:00,193,148,2,36,70,45,9
Sri Ganganagar,"Old City, Sri Ganganagar - RSPCB",20-11-2023 12:00:00,411,419,6,106,26,54,9
Tonk,"Shastri Nagar, Tonk - RSPCB",20-11-2023 12:00:00,342,266,7,87,36,59,7
Udaipur,"Ashok Nagar, Udaipur - RSPCB",20-11-2023 12:00:00,266,187,14,43,35,79,6
Gangtok,"Zero Point GICI, Gangtok - SSPCB",20-11-2023 12:00:00,11,16,58,10,16,2,1
Ariyalur,"Keelapalur, Ariyalur - TNPCB",20-11-2023 12:00:00,25,31,NA,,,16,
Chengalpattu,"Crescent University, Chengalpattu - TNPCB",20-11-2023 12:00:00,NA,NA,NA,NA,NA,,
Chennai,"Alandur Bus Depot, Chennai - CPCB",20-11-2023 12:00:00,68,61,14,45,17,45,8
Chennai,"Arumbakkam, Chennai - TNPCB",20-11-2023 12:00:00,34,53,15,,,20,3
Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",20-11-2023 12:00:00,NA,NA,NA,,4,,
Chennai,"Kodungaiyur, Chennai - TNPCB",20-11-2023 12:00:00,20,41,16,38,6,15,5
Chennai,"Manali, Chennai - CPCB",20-11-2023 12:00:00,29,35,6,24,12,13,3
Chennai,"Perungudi, Chennai - TNPCB",20-11-2023 12:00:00,30,45,3,34,,2,3
Chennai,"Royapuram, Chennai - TNPCB",20-11-2023 12:00:00,28,42,3,34,9,18,2
Chennai,"Velachery Res. Area, Chennai - CPCB",20-11-2023 12:00:00,28,45,28,44,13,28,10
Coimbatore,"PSG College of Arts and Science, Coimbatore - TNPCB",20-11-2023 12:00:00,NA,NA,NA,55,4,3,
Cuddalore,"Kudikadu, Cuddalore - TNPCB",20-11-2023 12:00:00,37,44,16,6,,101,27
Cuddalore,"Semmandalam, Cuddalore - TNPCB",20-11-2023 12:00:00,27,20,,,2,9,
Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",20-11-2023 12:00:00,121,110,15,,,8,5
Hosur,"SIPCOT Phase-1, Hosur - TNPCB",20-11-2023 12:00:00,47,53,5,6,4,9,1
Ooty,"Bombay Castel, Ooty - TNPCB",20-11-2023 12:00:00,NA,NA,NA,18,4,NA,NA
Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB",20-11-2023 12:00:00,15,NA,10,6,14,,1
Salem,"Sona College of Technology, Salem - TNPCB",20-11-2023 12:00:00,70,60,80,32,3,9,1
Thoothukudi,"Meelavittan, Thoothukudi - TNPCB",20-11-2023 12:00:00,,20,12,10,5,12,
Vellore,"Vasanthapuram, Vellore - TNPCB",20-11-2023 12:00:00,48,50,14,20,1,6,1
Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",20-11-2023 12:00:00,74,72,9,26,39,27,2
Hyderabad,"Central University, Hyderabad - TSPCB",20-11-2023 12:00:00,39,61,7,45,3,24,4
Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",20-11-2023 12:00:00,54,62,9,22,23,7,9
Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",20-11-2023 12:00:00,NA,NA,NA,,77,NA,NA
Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",20-11-2023 12:00:00,NA,NA,NA,NA,NA,NA,NA
Hyderabad,"IITH Kandi, Hyderabad - TSPCB",20-11-2023 12:00:00,48,56,16,28,11,11,2
Hyderabad,"Kokapet, Hyderabad - TSPCB",20-11-2023 12:00:00,99,117,7,16,NA,7,1
Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB",20-11-2023 12:00:00,51,46,4,20,21,11,4
Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",20-11-2023 12:00:00,NA,NA,NA,18,18,,
Hyderabad,"New Malakpet, Hyderabad - TSPCB",20-11-2023 12:00:00,33,58,8,29,13,24,3
Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",20-11-2023 12:00:00,NA,NA,NA,50,36,NA,NA
Hyderabad,"Sanathnagar, Hyderabad - TSPCB",20-11-2023 12:00:00,85,,7,47,14,28,
Hyderabad,"Somajiguda, Hyderabad - TSPCB",20-11-2023 12:00:00,61,75,12,16,14,23,7
Hyderabad,"Zoo Park, Hyderabad - TSPCB",20-11-2023 12:00:00,70,96,2,42,17,33,1
Agartala,"Bardowali, Agartala - Tripura SPCB",20-11-2023 12:00:00,104,103,17,37,1,9,2
Agra,"Manoharpur, Agra - UPPCB",20-11-2023 12:00:00,72,100,26,20,,5,3
Agra,"Rohta, Agra - UPPCB",20-11-2023 12:00:00,72,63,18,33,14,8,1
Agra,"Sanjay Palace, Agra - UPPCB",20-11-2023 12:00:00,76,67,7,58,38,15,
Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",20-11-2023 12:00:00,78,100,11,18,4,16,4
Agra,"Shahjahan Garden, Agra - UPPCB",20-11-2023 12:00:00,63,96,12,19,1,10,5
Agra,"Shastripuram, Agra - UPPCB",20-11-2023 12:00:00,104,114,12,15,NA,14,1
Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB",20-11-2023 12:00:00,295,217,18,103,10,3,NA
Bareilly,"Civil Lines, Bareilly - UPPCB",20-11-2023 12:00:00,123,102,34,42,5,29,NA
Bareilly,"Rajendra Nagar, Bareilly - UPPCB",20-11-2023 12:00:00,104,116,36,50,10,58,1
Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",20-11-2023 12:00:00,240,205,21,95,13,70,14
Firozabad,"Nagla Bhau, Firozabad - UPPCB",20-11-2023 12:00:00,138,92,26,60,14,26,2
Firozabad,"Vibhab Nagar, Firozabad - UPPCB",20-11-2023 12:00:00,183,119,19,35,31,65,1
Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",20-11-2023 12:00:00,308,329,16,23,210,129,12
Ghaziabad,"Loni, Ghaziabad - UPPCB",20-11-2023 12:00:00,308,242,15,98,10,80,8
Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",20-11-2023 12:00:00,286,197,22,75,19,148,13
Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",20-11-2023 12:00:00,297,223,46,47,15,84,9
Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",20-11-2023 12:00:00,119,98,47,50,4,2,2
Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",20-11-2023 12:00:00,261,187,11,75,26,45,7
Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",20-11-2023 12:00:00,328,327,10,NA,20,87,4
Hapur,"Anand Vihar, Hapur - UPPCB",20-11-2023 12:00:00,241,184,33,58,36,82,6
Jhansi,"Shivaji Nagar, Jhansi - UPPCB",20-11-2023 12:00:00,227,205,17,36,19,32,6
Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",20-11-2023 12:00:00,106,143,15,47,6,31,2
Kanpur,"NSI Kalyanpur, Kanpur - UPPCB",20-11-2023 12:00:00,132,137,20,48,31,21,3
Kanpur,"Nehru Nagar, Kanpur - UPPCB",20-11-2023 12:00:00,129,109,10,45,29,40,
Khurja,"Kalindi Kunj, Khurja - UPPCB",20-11-2023 12:00:00,110,89,34,60,24,59,2
Lucknow,"B R Ambedkar University, Lucknow - UPPCB",20-11-2023 12:00:00,182,137,22,23,31,20,6
Lucknow,"Gomti Nagar, Lucknow - UPPCB",20-11-2023 12:00:00,146,144,7,27,59,21,
Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB",20-11-2023 12:00:00,241,143,10,55,19,15,12
Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB",20-11-2023 12:00:00,202,121,22,33,78,16,2
Lucknow,"Lalbagh, Lucknow - CPCB",20-11-2023 12:00:00,250,167,10,101,20,45,17
Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",20-11-2023 12:00:00,179,189,10,49,12,38,20
Meerut,"Ganga Nagar, Meerut - UPPCB",20-11-2023 12:00:00,331,290,18,52,8,65,8
Meerut,"Jai Bhim Nagar, Meerut - UPPCB",20-11-2023 12:00:00,NA,NA,,NA,NA,NA,NA
Meerut,"Pallavpuram Phase 2, Meerut - UPPCB",20-11-2023 12:00:00,327,262,6,56,4,,
Moradabad,"Buddhi Vihar, Moradabad - UPPCB",20-11-2023 12:00:00,200,150,16,50,14,23,9
Moradabad,"Eco Herbal Park, Moradabad - UPPCB",20-11-2023 12:00:00,145,101,11,,23,29,7
Moradabad,"Employment Office, Moradabad - UPPCB",20-11-2023 12:00:00,182,151,21,68,21,12,3
Moradabad,"Jigar Colony, Moradabad - UPPCB",20-11-2023 12:00:00,147,156,107,70,9,30,5
Moradabad,"Kashiram Nagar, Moradabad - UPPCB",20-11-2023 12:00:00,209,176,31,48,13,26,4
Moradabad,"Transport Nagar, Moradabad - UPPCB",20-11-2023 12:00:00,159,121,38,42,15,39,6
Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",20-11-2023 12:00:00,214,161,NA,16,12,48,7
Noida,"Sector - 125, Noida - UPPCB",20-11-2023 12:00:00,306,293,49,129,154,157,9
Noida,"Sector - 62, Noida - IMD",20-11-2023 12:00:00,303,246,,107,220,44,
Noida,"Sector-1, Noida - UPPCB",20-11-2023 12:00:00,284,197,26,104,63,140,13
Noida,"Sector-116, Noida - UPPCB",20-11-2023 12:00:00,362,335,23,95,15,79,10
Prayagraj,"Jhunsi, Prayagraj - UPPCB",20-11-2023 12:00:00,170,159,30,38,3,6,15
Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB",20-11-2023 12:00:00,232,123,18,61,12,12,7
Prayagraj,"Nagar Nigam, Prayagraj - UPPCB",20-11-2023 12:00:00,150,133,47,35,6,14,9
Varanasi,"Ardhali Bazar, Varanasi - UPPCB",20-11-2023 12:00:00,70,81,17,,23,27,
Varanasi,"Bhelupur, Varanasi - UPPCB",20-11-2023 12:00:00,55,76,18,69,1,11,2
Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",20-11-2023 12:00:00,35,53,13,41,4,2,2
Varanasi,"Maldahiya, Varanasi - UPPCB",20-11-2023 12:00:00,68,75,31,67,4,2,1
Vrindavan,"Omex Eternity, Vrindavan - UPPCB",20-11-2023 12:00:00,116,117,32,81,25,3,2
Dehradun,"Doon University, Dehradun - UKPCB",20-11-2023 12:00:00,93,78,1,27,1,3,
Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",20-11-2023 12:00:00,45,93,8,26,5,38,5
Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB",20-11-2023 12:00:00,19,41,6,21,8,6,4
Asansol,"Asansol Court Area, Asansol - WBPCB",20-11-2023 12:00:00,64,82,11,NA,22,40,11
Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",20-11-2023 12:00:00,48,64,33,35,7,26,5
Haldia,"Priyambada Housing Estate, Haldia - WBPCB",20-11-2023 12:00:00,48,83,12,36,29,26,4
Howrah,"Belur Math, Howrah - WBPCB",20-11-2023 12:00:00,64,89,17,15,22,11,2
Howrah,"Ghusuri, Howrah - WBPCB",20-11-2023 12:00:00,148,113,7,33,6,44,8
Howrah,"Padmapukur, Howrah - WBPCB",20-11-2023 12:00:00,63,88,12,49,15,36,8
Kolkata,"Ballygunge, Kolkata - WBPCB",20-11-2023 12:00:00,84,84,6,18,29,54,6
Kolkata,"Bidhannagar, Kolkata - WBPCB",20-11-2023 12:00:00,48,71,13,22,20,24,7
Kolkata,"Fort William, Kolkata - WBPCB",20-11-2023 12:00:00,123,93,10,29,23,50,13
Kolkata,"Jadavpur, Kolkata - WBPCB",20-11-2023 12:00:00,62,85,5,44,16,20,21
Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",20-11-2023 12:00:00,48,77,12,28,32,24,8
Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",20-11-2023 12:00:00,64,57,9,33,24,32,8
Kolkata,"Victoria, Kolkata - WBPCB",20-11-2023 12:00:00,102,170,6,46,18,9,1
Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",20-11-2023 12:00:00,75,109,11,43,19,41,10
